
周,skis: (美国)
2014-03-02,63
2014-03-09,50
2014-03-16,44
2014-03-23,35
2014-03-30,34
2014-04-06,28
2014-04-13,22
2014-04-20,24
2014-04-27,21
2014-05-04,20
2014-05-11,18
2014-05-18,21
2014-05-25,27
2014-06-01,22
2014-06-08,25
2014-06-15,25
2014-06-22,26
2014-06-29,31
2014-07-06,26
2014-07-13,24
2014-07-20,26
2014-07-27,24
2014-08-03,23
2014-08-10,30
2014-08-17,29
2014-08-24,31
2014-08-31,32
2014-09-07,28
2014-09-14,30
2014-09-21,31
2014-09-28,32
2014-10-05,33
2014-10-12,38
2014-10-19,40
2014-10-26,43
2014-11-02,46
2014-11-09,54
2014-11-16,64
2014-11-23,67
2014-11-30,65
2014-12-07,59
2014-12-14,66
2014-12-21,78
2014-12-28,82
2015-01-04,75
2015-01-11,68
2015-01-18,63
2015-01-25,74
2015-02-01,64
2015-02-08,62
2015-02-15,59
2015-02-22,56
2015-03-01,56
2015-03-08,44
2015-03-15,32
2015-03-22,29
2015-03-29,27
2015-04-05,20
2015-04-12,23
2015-04-19,20
2015-04-26,18
2015-05-03,20
2015-05-10,20
2015-05-17,18
2015-05-24,24
2015-05-31,21
2015-06-07,24
2015-06-14,26
2015-06-21,28
2015-06-28,27
2015-07-05,32
2015-07-12,30
2015-07-19,27
2015-07-26,30
2015-08-02,30
2015-08-09,28
2015-08-16,28
2015-08-23,30
2015-08-30,31
2015-09-06,35
2015-09-13,29
2015-09-20,27
2015-09-27,30
2015-10-04,35
2015-10-11,35
2015-10-18,36
2015-10-25,39
2015-11-01,48
2015-11-08,53
2015-11-15,52
2015-11-22,57
2015-11-29,65
2015-12-06,53
2015-12-13,61
2015-12-20,66
2015-12-27,86
2016-01-03,75
2016-01-10,70
2016-01-17,81
2016-01-24,71
2016-01-31,68
2016-02-07,59
2016-02-14,62
2016-02-21,53
2016-02-28,47
2016-03-06,43
2016-03-13,38
2016-03-20,35
2016-03-27,33
2016-04-03,28
2016-04-10,24
2016-04-17,20
2016-04-24,19
2016-05-01,18
2016-05-08,18
2016-05-15,19
2016-05-22,23
2016-05-29,25
2016-06-05,26
2016-06-12,24
2016-06-19,30
2016-06-26,30
2016-07-03,32
2016-07-10,29
2016-07-17,27
2016-07-24,32
2016-07-31,28
2016-08-07,26
2016-08-14,26
2016-08-21,28
2016-08-28,30
2016-09-04,30
2016-09-11,27
2016-09-18,25
2016-09-25,26
2016-10-02,28
2016-10-09,32
2016-10-16,36
2016-10-23,37
2016-10-30,37
2016-11-06,37
2016-11-13,44
2016-11-20,56
2016-11-27,57
2016-12-04,58
2016-12-11,78
2016-12-18,75
2016-12-25,91
2017-01-01,90
2017-01-08,74
2017-01-15,75
2017-01-22,70
2017-01-29,68
2017-02-05,63
2017-02-12,57
2017-02-19,58
2017-02-26,50
2017-03-05,44
2017-03-12,43
2017-03-19,37
2017-03-26,34
2017-04-02,32
2017-04-09,28
2017-04-16,23
2017-04-23,23
2017-04-30,20
2017-05-07,20
2017-05-14,23
2017-05-21,22
2017-05-28,27
2017-06-04,24
2017-06-11,28
2017-06-18,29
2017-06-25,24
2017-07-02,37
2017-07-09,30
2017-07-16,30
2017-07-23,29
2017-07-30,27
2017-08-06,27
2017-08-13,27
2017-08-20,23
2017-08-27,28
2017-09-03,33
2017-09-10,26
2017-09-17,28
2017-09-24,29
2017-10-01,31
2017-10-08,37
2017-10-15,37
2017-10-22,36
2017-10-29,39
2017-11-05,50
2017-11-12,50
2017-11-19,57
2017-11-26,58
2017-12-03,52
2017-12-10,68
2017-12-17,72
2017-12-24,84
2017-12-31,84
2018-01-07,69
2018-01-14,71
2018-01-21,64
2018-01-28,62
2018-02-04,64
2018-02-11,91
2018-02-18,100
2018-02-25,61
2018-03-04,56
2018-03-11,49
2018-03-18,45
2018-03-25,39
2018-04-01,33
2018-04-08,29
2018-04-15,21
2018-04-22,20
2018-04-29,20
2018-05-06,21
2018-05-13,22
2018-05-20,23
2018-05-27,34
2018-06-03,26
2018-06-10,25
2018-06-17,29
2018-06-24,30
2018-07-01,36
2018-07-08,32
2018-07-15,30
2018-07-22,28
2018-07-29,30
2018-08-05,29
2018-08-12,28
2018-08-19,26
2018-08-26,31
2018-09-02,30
2018-09-09,26
2018-09-16,26
2018-09-23,31
2018-09-30,31
2018-10-07,32
2018-10-14,38
2018-10-21,34
2018-10-28,37
2018-11-04,40
2018-11-11,47
2018-11-18,66
2018-11-25,66
2018-12-02,67
2018-12-09,66
2018-12-16,67
2018-12-23,84
2018-12-30,81
2019-01-06,74
2019-01-13,79
2019-01-20,78
2019-01-27,72
2019-02-03,63
2019-02-10,63
2019-02-17,70
